Heading	Description	EventCatId	LogEvent	DisplayEvent	EventType	OverrideAlarm	Priority	RestoreEventCode	SendResetToPanel	ReponseRequired	Required2ndResponse	EventCode	EventClass	Auditting	UpdateStatus	StatusOptions	MobileNotification	EventColor	ChallengerCos	ChEvent	ChSubEvent	oPoint	sPoint	oUser	sUser	oJob	sJob	oFloor	sFloor	oRegion	sRegion				PageOnEvent	PageOnAck	PageOnRemoval
	Access test over	1	1	1	2	0	80	0	0	0	0	265	41	0	0	0	0		10	ff	0a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Access test failed	1	1	1	0	0	80	267	0	0	0	266	41	0	0	1	0		10	ff	0b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Access test completed	1	1	1	2	0	80	0	0	0	0	267	41	0	0	0	0		10	ff	0c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Secure test started	1	1	1	0	0	80	269	0	0	0	268	41	0	0	1	0		10	ff	0d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Secure test over	1	1	1	2	0	80	0	0	0	0	269	41	0	0	0	0		10	ff	0e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Secure test failed	1	1	1	0	0	80	271	0	0	0	270	41	0	0	1	0		10	ff	0f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Secure test completed	1	1	1	2	0	80	0	0	0	0	271	41	0	0	0	0		10	ff	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Automatic reset	1	1	1	0	0	80	0	0	0	0	279	41	0	0	0	0		10	ff	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Time changed	1	1	1	0	0	80	0	0	0	0	280	41	0	0	0	0		10	ff	19	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Time change extended	1	1	1	0	0	80	0	0	0	0	285	1	0	0	0	0		0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Auto test call	1	1	1	0	0	80	0	0	0	0	281	4	0	0	0	0		32	ff	1a	0	0	4	2	2	1	0	0	0	0	0	0	0	0	0	0
	Remote dial back triggered	1	1	1	0	0	80	0	0	0	0	282	41	0	0	0	0		10	ff	1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Service in	1	1	1	0	0	80	284	0	0	0	283	41	0	0	1	0		10	ff	1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Service out	1	1	1	2	0	80	0	0	0	0	284	41	0	0	0	0		10	ff	1d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Service requested	1	1	1	0	0	80	0	0	0	0	287	41	0	0	0	0		10	ff	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Program mode entered	1	1	1	0	0	80	0	0	0	0	294	41	0	0	0	0		23	ff	27	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Program mode exited	1	1	1	0	0	80	0	0	0	0	295	41	0	0	0	0		23	ff	28	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Cancel code	1	1	1	0	0	80	0	0	0	0	297	41	0	0	0	0		10	ff	2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Radio unit fail	1	1	1	1	0	60	299	0	1	0	298	41	0	0	1	0	EF1111	10	ff	2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Radio unit restored	1	1	1	2	0	60	0	0	0	0	299	41	0	0	0	0		10	ff	2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Radio host fail	1	1	1	1	0	60	301	0	1	0	300	41	0	0	1	0	EF1111	10	ff	2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Radio host restored	1	1	1	2	0	60	0	0	0	0	301	41	0	0	0	0		10	ff	2e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Radio ACK fail	1	1	1	1	0	60	303	0	1	0	302	41	0	0	1	0	EF1111	10	ff	2f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Radio ACK restore	1	1	1	2	0	60	0	0	0	0	303	41	0	0	0	0		10	ff	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Radio out of range	1	1	1	1	0	60	305	0	1	0	304	41	0	0	1	0	EF1111	10	ff	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Radio in range	1	1	1	2	0	60	0	0	0	0	305	41	0	0	0	0		10	ff	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Monitoring company command	1	1	1	1	0	60	307	0	0	0	306	41	0	0	0	0	EF1111	10	ff	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Monitoring company command restored	1	1	1	2	0	60	0	0	0	0	307	41	0	0	0	0		10	ff	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ECRC alarm	1	1	1	1	0	60	309	0	0	0	308	41	0	0	0	0	EF1111	10	ff	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	ECRC restore	1	1	1	2	0	60	0	0	0	0	309	41	0	0	0	0		10	ff	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Dial test message	1	1	1	1	0	60	311	0	0	0	310	41	0	0	0	0	EF1111	10	ff	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Dial test message restore	1	1	1	2	0	60	0	0	0	0	311	41	0	0	0	0		10	ff	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Dial backup message	1	1	1	1	0	60	313	0	0	0	312	41	0	0	0	0	EF1111	10	ff	F11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Dial backup message restore	1	1	1	2	0	60	0	0	0	0	313	41	0	0	0	0		10	ff	3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet link fail	1	1	1	1	0	50	316	0	1	0	315	2	0	0	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet link restored	1	1	1	2	0	50	0	0	0	0	316	2	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet heartbeat fail	1	1	1	1	0	50	318	0	1	0	317	1	0	0	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet heartbeat restored	1	1	1	2	0	50	0	0	0	0	318	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet CID site fail	1	1	1	1	0	50	320	0	1	0	319	1	0	0	1	0	EF1111	10	ff	40	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet CID site restore	1	1	1	2	0	50	0	0	0	0	320	1	0	0	0	0		10	ff	41	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet hardware init fail	1	1	1	1	0	50	322	0	1	0	321	41	0	0	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - Ethernet hardware init restore	1	1	1	2	0	50	0	0	0	0	322	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Popup enabled	1	1	1	0	0	50	263	0	0	0	262	41	0	0	1	0		12	ff	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Popup disabled	1	1	1	2	0	50	0	0	0	0	263	41	0	0	0	0		12	ff	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Panel - configuration restored	1	1	1	2	0	60	0	0	0	0	250	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Auto test call failed	1	1	1	2	0	60	0	0	0	0	251	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Radio signal strength	1	1	1	0	0	50	0	0	0	0	252	51	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Firmware upgrade started	1	1	1	0	0	50	0	0	0	0	253	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Firmware upgrade complete	1	1	1	0	0	50	0	0	0	0	254	51	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	NAC DIP switch changed	1	1	1	0	0	50	0	0	0	0	343	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - path event reset	1	1	1	2	0	50	0	0	0	0	344	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Service required	1	1	1	2	0	50	0	0	0	0	345	51	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Power supply shutdown	1	1	1	2	0	50	347	0	0	0	346	41	0	0	0	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Power supply shutdown restored	1	1	1	2	0	50	0	0	0	0	347	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Panel Comms Event Category										0																											
	Modem - no dial tone detected	1	1	1	0	0	60	0	0	0	0	512	1	0	0	0	0	EF1111	16	fe	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Modem - dialing attempt failed	1	1	1	0	0	60	0	0	0	0	513	49	0	0	0	0		16	fe	1	4	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Modem - DTMF message retransmission	1	1	1	0	0	60	0	0	0	0	514	1	0	0	0	0		16	fe	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Modem - no answer	1	1	1	0	0	60	0	0	0	0	515	1	0	0	0	0		16	fe	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Modem - DTMF kiss off not detected	1	1	1	0	0	60	0	0	0	0	516	1	0	0	0	0		16	fe	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Modem - answer carrier not detected	1	1	1	0	0	60	0	0	0	0	517	41	0	0	0	0		16	fe	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Modem - answer tone not detected	1	1	1	0	0	60	0	0	0	0	518	41	0	0	0	0		16	fe	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Modem - carrier fail	1	1	1	0	0	60	0	0	0	0	519	41	0	0	0	0		16	fe	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Modem - originate carrier not detected	1	1	1	0	0	60	0	0	0	0	520	41	0	0	0	0		16	fe	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Modem - early disconnect	1	1	1	1	0	50	0	0	1	0	521	41	0	0	0	0	EF1111	9	fe	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - too many event retries	1	1	1	1	0	50	0	0	1	0	522	1	0	0	0	0	EF1111	16	fe	0a	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
	Panel comms line lost	1	1	1	1	0	40	1090	0	1	0	1089	41	0	1	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Panel comms line found	1	1	1	2	0	40	0	0	0	0	1090	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Panel Other Event Category										0																											
	Record added	1	1	1	0	0	60	0	0	0	0	710	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Record modified	1	1	1	0	0	60	0	0	0	0	711	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
	Record deleted	1	1	1	0	0	60	0	0	0	0	712	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Skipped	Retrive programming started	1	1	1	0	0	60	716	0	0	0	714	41	0	1	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Skipped	Retrive programming in progress	1	0	1	0	0	60	716	0	0	0	715	3	0	1	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Skipped	Retrive programming complete	1	1	1	0	0	60	0	0	0	0	716	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
